As of Date,Facility PFI,Facility Name,DOH Region,Facility County,Facility Network,NY Forward Region,Total Staffed Acute Care Beds,Total Staffed Acute Care Beds Occupied,Total Staffed Acute Care Beds Available,Total Staffed ICU Beds,Total Staffed ICU Beds Currently Occupied,Total Staffed ICU Beds Currently Available
11/07/2025,000739,A.O. FOX MEMORIAL HOSPITAL,CAPITAL DISTRICT REGIONAL OFFICE,OTSEGO,BASSETT HEALTHCARE,MOHAWK VALLEY,67,19,48,0,0,0
11/07/2025,008554,A.O. FOX MEMORIAL TRI-TOWN,CAPITAL DISTRICT REGIONAL OFFICE,DELAWARE,BASSETT HEALTHCARE,SOUTHERN TIER,0,0,0,0,0,0
11/07/2025,000324,ADIRONDACK MEDICAL CENTER SARANAC LAKE,CAPITAL DISTRICT REGIONAL OFFICE,FRANKLIN,INDEPENDENT,NORTH COUNTRY,33,17,16,6,1,5
11/07/2025,000001,ALBANY MEDICAL CENTER HOSPITAL,CAPITAL DISTRICT REGIONAL OFFICE,ALBANY,ALBANY MEDICAL CENTER,CAPITAL REGION,671,560,111,85,78,7
11/07/2025,000002,ALBANY MEDICAL CENTER SOUTH CAMPUS,CAPITAL DISTRICT REGIONAL OFFICE,ALBANY,ALBANY MEDICAL CENTER,CAPITAL REGION,0,0,0,0,0,0
11/07/2025,000116,ARNOT OGDEN MEDICAL CENTER,WESTERN REGIONAL OFFICE - ROCHESTER,CHEMUNG,ARNOT HEALTH,SOUTHERN TIER,194,91,103,28,11,17
11/07/2025,000085,AUBURN COMMUNITY HOSPITAL,CENTRAL NEW YORK REGIONAL OFFICE,CAYUGA,INDEPENDENT,CENTRAL NEW YORK,115,56,59,10,5,5
11/07/2025,001438,BELLEVUE HOSPITAL CENTER,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,NEW YORK,NYC H+H,NEW YORK CITY,745,683,62,71,59,12
11/07/2025,000280,BERTRAND CHAFFEE HOSPITAL,WESTERN REGIONAL OFFICE - BUFFALO,ERIE,INDEPENDENT,WESTERN NEW YORK,15,11,4,0,0,0
11/07/2025,001138,BLYTHEDALE CHILDREN'S HOSPITAL,METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,WESTCHESTER,INDEPENDENT,MID-HUDSON,0,0,0,0,0,0
11/07/2025,000708,BON SECOURS COMMUNITY HOSPITAL,METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,ORANGE,WMC HEALTH,MID-HUDSON,102,56,46,8,5,3
11/07/2025,001164,BRONXCARE HOSPITAL CENTER,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,BRONX,INDEPENDENT,NEW YORK CITY,143,77,66,0,0,0
11/07/2025,001178,BRONXCARE HOSPITAL CENTER (1178),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,BRONX,INDEPENDENT,NEW YORK CITY,479,295,184,37,27,10
11/07/2025,001286,BROOKDALE HOSPITAL MEDICAL CENTER,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,KINGS,ONE BROOKLYN HEALTH,NEW YORK CITY,343,302,41,33,33,0
11/07/2025,001288,BROOKLYN CENTER DOWNTOWN,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,KINGS,INDEPENDENT,NEW YORK CITY,200,149,51,17,12,5
11/07/2025,000098,BROOKS TLC HOSPITAL,WESTERN REGIONAL OFFICE - BUFFALO,CHAUTAUQUA,INDEPENDENT,WESTERN NEW YORK,25,16,9,5,2,3
11/07/2025,000207,BUFFALO GENERAL MEDICAL CENTER,WESTERN REGIONAL OFFICE - BUFFALO,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,500,409,91,82,75,7
11/07/2025,010223,CALVARY HOSPITAL,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,KINGS,INDEPENDENT,NEW YORK CITY,25,25,0,0,0,0
11/07/2025,001175,CALVARY HOSPITAL (1175),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,BRONX,INDEPENDENT,NEW YORK CITY,200,193,7,0,0,0
11/07/2025,000815,CANTON POTSDAM HOSPITAL,CENTRAL NEW YORK REGIONAL OFFICE,ST. LAWRENCE,ST. LAWRENCE HEALTH,NORTH COUNTRY,95,76,19,6,3,3
11/07/2025,000379,CARTHAGE AREA HOSPITAL,CENTRAL NEW YORK REGIONAL OFFICE,JEFFERSON,INDEPENDENT,NORTH COUNTRY,25,14,11,4,1,3
11/07/2025,000977,CAYUGA MEDICAL CENTER ITHACA,CENTRAL NEW YORK REGIONAL OFFICE,TOMPKINS,CAYUGA HEALTH,SOUTHERN TIER,150,76,74,16,8,8
11/07/2025,000128,CHENANGO MEMORIAL HOSPITAL,CENTRAL NEW YORK REGIONAL OFFICE,CHENANGO,UNITED HEALTH SERVICES,SOUTHERN TIER,27,17,10,2,3,-1
11/07/2025,000798,CLAXTON HEPBURN MEDICAL CENTER,CENTRAL NEW YORK REGIONAL OFFICE,ST. LAWRENCE,NORTH STAR HEALTH,NORTH COUNTRY,25,21,4,6,4,2
11/07/2025,000817,CLIFTON FINE HOSPITAL,CENTRAL NEW YORK REGIONAL OFFICE,ST. LAWRENCE,INDEPENDENT,NORTH COUNTRY,0,0,0,0,0,0
11/07/2025,000676,CLIFTON SPRINGS HOSPITAL & CLINIC,WESTERN REGIONAL OFFICE - ROCHESTER,ONTARIO,ROCHESTER REGIONAL HEALTH,FINGER LAKES,88,73,15,6,6,0
11/07/2025,010216,COBLESKILL REGIONAL HOSPITAL,CAPITAL DISTRICT REGIONAL OFFICE,SCHOHARIE,BASSETT HEALTHCARE,MOHAWK VALLEY,36,12,24,0,0,0
11/07/2025,000146,COLUMBIA MEMORIAL HOSPITAL,CAPITAL DISTRICT REGIONAL OFFICE,COLUMBIA,ALBANY MEDICAL CENTER,CAPITAL REGION,103,74,29,6,3,3
11/07/2025,000401,COMMUNITY MEMORIAL HOSPITAL,CENTRAL NEW YORK REGIONAL OFFICE,MADISON,INDEPENDENT,CENTRAL NEW YORK,25,20,5,0,0,0
11/07/2025,001294,CONEY ISLAND HOSPITAL,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,KINGS,NYC H+H,NEW YORK CITY,380,356,24,38,27,11
11/07/2025,000866,CORNING HOSPITAL,WESTERN REGIONAL OFFICE - ROCHESTER,STEUBEN,THE GUTHRIE CLINIC,SOUTHERN TIER,59,53,6,8,5,3
11/07/2025,000959,CROUSE COMMONWEALTH DIVISION,CENTRAL NEW YORK REGIONAL OFFICE,ONONDAGA,CROUSE HEALTH,CENTRAL NEW YORK,29,24,5,0,0,0
11/07/2025,000636,CROUSE HOSPITAL,CENTRAL NEW YORK REGIONAL OFFICE,ONONDAGA,CROUSE HEALTH,CENTRAL NEW YORK,315,285,30,25,20,
11/07/2025,000037,CUBA MEMORIAL HOSPITAL,WESTERN REGIONAL OFFICE - BUFFALO,ALLEGANY,INDEPENDENT,WESTERN NEW YORK,15,7,8,0,0,0
11/07/2025,010355,DAVID H. KOCH CANCER CENTER,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,NEW YORK,MEMORIAL SLOAN KETTERING,NEW YORK CITY,12,9,3,0,0,0
11/07/2025,000581,DEGRAFF MEMORIAL HOSPITAL,WESTERN REGIONAL OFFICE - BUFFALO,NIAGARA,KALEIDA HEALTH,WESTERN NEW YORK,0,0,0,0,0,0
11/07/2025,000174,DELAWARE VALLEY HOSPITAL,CAPITAL DISTRICT REGIONAL OFFICE,DELAWARE,UNITED HEALTH SERVICES,SOUTHERN TIER,21,13,8,0,0,0
11/07/2025,001002,ELLENVILLE REGIONAL HOSPITAL,METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,ULSTER,INDEPENDENT,MID-HUDSON,25,17,8,0,0,0
11/07/2025,000829,ELLIS HOSPITAL,CAPITAL DISTRICT REGIONAL OFFICE,SCHENECTADY,ELLIS MEDICINE,CAPITAL REGION,364,220,144,62,20,42
11/07/2025,000848,ELLIS HOSPITAL BELLEVUE WOMAN'S,CAPITAL DISTRICT REGIONAL OFFICE,SCHENECTADY,ELLIS MEDICINE,CAPITAL REGION,70,19,51,0,0,0
11/07/2025,001626,ELMHURST HOSPITAL CENTER,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,QUEENS,NYC H+H,NEW YORK CITY,449,401,48,29,23,6
11/07/2025,000210,ERIE COUNTY MEDICAL CENTER,WESTERN REGIONAL OFFICE - BUFFALO,ERIE,INDEPENDENT,WESTERN NEW YORK,510,436,74,40,29,11
11/07/2025,000678,F.F. THOMPSON HOSPITAL,WESTERN REGIONAL OFFICE - ROCHESTER,ONTARIO,UNIVERSITY OF ROCHESTER,FINGER LAKES,102,82,20,12,10,2
11/07/2025,001628,FLUSHING HOSPITAL MEDICAL CENTER,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,QUEENS,MEDISYS HEALTH NETWORK,NEW YORK CITY,186,140,46,22,11,11
11/07/2025,000699,GARNET HEALTH MEDICAL CENTER,METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,ORANGE,GARNET HEALTH,MID-HUDSON,421,304,117,40,18,22
11/07/2025,000971,GARNET HEALTH MEDICAL CENTER CATSKILLS,METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,SULLIVAN,GARNET HEALTH,MID-HUDSON,85,36,49,11,3,8
11/07/2025,000968,GARNET HEALTH MEDICAL CENTER HERMANN,METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,SULLIVAN,GARNET HEALTH,MID-HUDSON,15,5,10,0,0,0
11/07/2025,000671,GENEVA GENERAL HOSPITAL,WESTERN REGIONAL OFFICE - ROCHESTER,ONTARIO,FINGER LAKES HEALTH,FINGER LAKES,43,32,11,6,3,3
11/07/2025,000490,GLEN COVE HOSPITAL,METROPOLITAN AREA REGIONAL OFFICE - LONG ISLAND,NASSAU,NORTHWELL HEALTH,LONG ISLAND,186,126,60,15,7,8
11/07/2025,001005,GLENS FALLS HOSPITAL,CAPITAL DISTRICT REGIONAL OFFICE,WARREN,INDEPENDENT,CAPITAL REGION,202,157,45,16,6,10
11/07/2025,000925,GOOD SAMARITAN MEDICAL CENTER,METROPOLITAN AREA REGIONAL OFFICE - LONG ISLAND,SUFFOLK,"CATHOLIC HEALTH, LI",LONG ISLAND,355,288,67,51,40,11
11/07/2025,000779,GOOD SAMARITAN SUFFERN,METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,ROCKLAND,WMC HEALTH,MID-HUDSON,288,176,112,49,38,11
11/07/2025,000812,GOUVERNEUR HOSPITAL,CENTRAL NEW YORK REGIONAL OFFICE,ST. LAWRENCE,ST. LAWRENCE HEALTH,NORTH COUNTRY,25,11,14,0,0,0
11/07/2025,000158,GUTHRIE CORTLAND MEDICAL CENTER,CENTRAL NEW YORK REGIONAL OFFICE,CORTLAND,THE GUTHRIE CLINIC,CENTRAL NEW YORK,81,54,27,9,4,5
11/07/2025,001445,HARLEM HOSPITAL CENTER,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,NEW YORK,NYC H+H,NEW YORK CITY,208,163,45,0,0,0
11/07/2025,000989,HEALTHALLIANCE MARY'S AVE,METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,ULSTER,WMC HEALTH,MID-HUDSON,318,72,246,86,3,83
11/07/2025,000775,HELEN HAYES HOSPITAL,METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,ROCKLAND,INDEPENDENT,MID-HUDSON,72,45,27,0,0,0
11/07/2025,001486,HENRY J. CARTER SPECIALTY HOSPITAL,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,NEW YORK,NYC H+H,NEW YORK CITY,201,130,71,0,0,0
11/07/2025,000409,HIGHLAND HOSPITAL,WESTERN REGIONAL OFFICE - ROCHESTER,MONROE,UNIVERSITY OF ROCHESTER,FINGER LAKES,316,298,18,14,10,4
11/07/2025,001447,HOSPITAL FOR SPECIAL SURGERY,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,NEW YORK,INDEPENDENT,NEW YORK CITY,128,111,17,4,2,2
11/07/2025,000913,HUNTINGTON HOSPITAL,METROPOLITAN AREA REGIONAL OFFICE - LONG ISLAND,SUFFOLK,NORTHWELL HEALTH,LONG ISLAND,327,243,84,34,24,10
11/07/2025,001309,INTERFAITH MEDICAL CENTER,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,KINGS,ONE BROOKLYN HEALTH,NEW YORK CITY,161,143,18,25,25,0
11/07/2025,000873,IRA DAVENPORT MEMORIAL,WESTERN REGIONAL OFFICE - ROCHESTER,STEUBEN,ARNOT HEALTH,SOUTHERN TIER,0,0,0,0,0,0
11/07/2025,001165,JACOBI MEDICAL CENTER,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,BRONX,NYC H+H,NEW YORK CITY,368,285,83,44,33,11
11/07/2025,001629,JAMAICA HOSPITAL MEDICAL CENTER,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,QUEENS,MEDISYS HEALTH NETWORK,NEW YORK CITY,322,271,51,26,23,3
11/07/2025,000039,JONES MEMORIAL HOSPITAL,WESTERN REGIONAL OFFICE - BUFFALO,ALLEGANY,UNIVERSITY OF ROCHESTER,WESTERN NEW YORK,32,23,9,5,4,1
11/07/2025,000267,KENMORE MERCY HOSPITAL,WESTERN REGIONAL OFFICE - BUFFALO,ERIE,CATHOLIC HEALTH BUFFALO,WESTERN NEW YORK,170,122,48,14,3,11
11/07/2025,001301,KINGS COUNTY HOSPITAL CENTER,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,KINGS,NYC H+H,NEW YORK CITY,447,390,57,40,26,14
11/07/2025,000012,LAKEVIEW MENTAL HEALTH & WELLNESS,CENTRAL NEW YORK REGIONAL OFFICE,OSWEGO,OSWEGO HEALTH,CENTRAL NEW YORK,22,15,7,0,0,0
11/07/2025,009700,LENOX HEALTH GREENWICH VILLAGE,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,NEW YORK,NORTHWELL HEALTH,NEW YORK CITY,20,2,18,0,0,0
11/07/2025,001450,LENOX HILL HOSPITAL,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,NEW YORK,NORTHWELL HEALTH,NEW YORK CITY,425,321,104,60,43,17
11/07/2025,000383,LEWIS COUNTY GENERAL HOSPITAL,CENTRAL NEW YORK REGIONAL OFFICE,LEWIS,INDEPENDENT,NORTH COUNTRY,33,15,18,5,1,4
11/07/2025,001172,LINCOLN MEDICAL & MENTAL HEALTH (1172),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,BRONX,NYC H+H,NEW YORK CITY,346,265,81,34,21,13
11/07/2025,000362,LITTLE FALLS HOSPITAL (0362),CENTRAL NEW YORK REGIONAL OFFICE,HERKIMER,BASSETT HEALTHCARE,MOHAWK VALLEY,24,19,5,0,0,0
11/07/2025,015464,LOCKPORT MEMORIAL HOSPITAL (15464),WESTERN REGIONAL OFFICE - BUFFALO,NIAGARA,CATHOLIC HEALTH BUFFALO,WESTERN NEW YORK,10,21,-11,0,0,0
11/07/2025,001630,LONG ISLAND JEWISH MC (1630),METROPOLITAN AREA REGIONAL OFFICE - LONG ISLAND,NASSAU,NORTHWELL HEALTH,LONG ISLAND,595,584,11,54,47,7
11/07/2025,001638,LONG ISLAND JEWISH: FOREST HILLS (1638),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,QUEENS,NORTHWELL HEALTH,NEW YORK CITY,251,197,54,18,16,2
